symbol,stock_name,signal_date,combo_id,combo_name,close,pct_change,platform_level,breakout_high,breakout_close,breakout_vol,breakout_vol_ratio,vol_ratio,is_breakout,resonance_score,resonance_ok,position_stage,ma5_score_total
001368,通达创智,2026-08-20,4,上涨放量突破,24.35,6.7046,23.65,24.65,24.35,41250.48,2.8851,2.8851,True,82.0,True,uptrend,
002678,珠江钢琴,2026-08-20,4,上涨放量突破,4.89,3.8217,5.09,5.06,4.89,345812.1,3.689,3.689,False,94.0,True,uptrend,
600490,鹏欣资源,2026-08-20,4,上涨放量突破,7.25,2.6912,8.07,7.53,7.25,860761.51,1.5119,1.5119,False,94.0,True,uptrend,
600763,通策医疗,2026-08-20,4,上涨放量突破,36.54,3.6596,37.99,36.99,36.54,181361.02,1.8095,1.8095,False,94.0,True,uptrend,
600916,中国黄金,2026-08-20,4,上涨放量突破,7.69,0.6545,8.26,8.05,7.69,674046.55,1.8226,1.8226,False,94.0,True,uptrend,
603998,方盛制药,2026-08-20,4,上涨放量突破,10.43,2.86,11.11,10.56,10.43,226344.0,1.5264,1.5264,False,94.0,True,uptrend,
002226,江南化工,2026-08-03,4,上涨放量突破,5.18,4.2254,5.01,5.21,5.18,331052.03,1.6811,1.6811,True,98.0,True,uptrend,
002649,博彦科技,2026-07-31,4,上涨放量突破,9.17,5.0401,9.1,9.34,9.17,220427.65,1.7725,1.7725,True,98.0,True,uptrend,
002686,亿利达,2026-07-31,4,上涨放量突破,6.19,6.5404,5.81,6.39,6.19,627943.5,5.5589,5.5589,True,82.0,True,uptrend,
603099,长白山,2026-07-30,4,上涨放量突破,37.96,0.5297,38.0,39.05,37.96,90934.05,1.5725,1.5725,True,98.0,True,uptrend,
